,math_placement_score,hsgpa,NonTC,Mix,APOnly,STEM,NONSTEM,Female,Male,Caucasian,Black,Multirace,Hispanic,AsiPac,Asian,Native,HawaiiPac,Other,8 or less,10 or less,12 or less
309,1.4874251955828257,-1.8289586931357964,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
312,-0.12568750206784893,-1.2587990449959026,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
313,-0.6633917346180739,0.031835067611673935,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
315,1.1289557072160092,-0.1314379225374778,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1
317,-1.9180349439019322,0.08885103242566275,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
318,0.949720963032601,0.18474151870373554,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
319,0.053547242115559314,-0.7404720921414546,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
320,0.4120167304823758,0.6071779852801118,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1
321,0.949720963032601,0.2961818135674424,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1
324,-0.6633917346180739,0.456863168952321,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
327,0.23278198629896754,0.3998472041383322,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
331,-0.48415699043466537,0.28581527451035454,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
332,1.8458946839496422,-0.8700538303550662,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
334,0.23278198629896754,0.5812616376373899,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
336,-0.12568750206784893,0.495737690416405,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1
337,2.383598916499868,2.3902227030994143,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
338,-1.5595654555351153,-0.5072249633569531,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
340,0.4120167304823758,1.1125467643131988,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
341,-0.8426264788014821,-0.5927489105779369,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
345,-0.48415699043466537,0.6408692372156518,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
346,-1.0218612229848907,0.3765224912598834,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
349,-0.8426264788014821,-0.8519123870051614,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
350,0.591251474665784,0.2780403702175375,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
351,0.053547242115559314,0.25471565733908647,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
353,0.053547242115559314,1.3587520669190623,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
354,-0.3049222462512574,0.7445346277865406,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
355,-1.0218612229848907,-0.9244781604047843,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
356,1.4874251955828257,0.4076221084311492,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
358,-1.2010959671682988,-1.595711564351295,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,1
360,0.23278198629896754,0.7367597234937235,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
361,0.053547242115559314,-0.21177860022991768,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
366,1.8458946839496422,1.1410547467201948,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
367,1.666659939766234,0.20547459681791466,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
368,0.591251474665784,1.3354273540406125,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1
369,-1.5595654555351153,-0.6264401625134758,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
372,0.053547242115559314,-0.7923047874268995,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
374,1.8458946839496422,0.5086958642377659,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1
375,0.949720963032601,0.8041422273648025,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1
378,-0.12568750206784893,0.7030684715581846,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1
379,-0.6633917346180739,-1.6941936853936397,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1
380,0.591251474665784,0.21324950111073168,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1
381,1.8458946839496422,1.2032539810627276,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
384,-0.3049222462512574,1.646423525753283,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
387,0.7704862188491928,-0.36986832085052324,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
391,-1.9180349439019322,1.3380189888048843,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1
